+-------------+----------------------+--------+------------+------------+------------+------------+-----+
|      ID     |         Name         | Gender |  Birthday  |   Death    |   Child    |   Spouse   | Age |
+-------------+----------------------+--------+------------+------------+------------+------------+-----+
|  sprint1_I1 |  John /Winchester/   |   M    | 1930-01-05 |     NA     |     NA     | sprint1_F2 |  87 |
|  sprint1_I2 |  Lisa /Winchester/   |   F    | 1972-06-10 |     NA     |     NA     | sprint1_F1 |  45 |
|  sprint1_I3 |  Mary /Winchester/   |   F    | 1948-08-19 | 1970-04-10 |     NA     | sprint1_F2 |  69 |
|  sprint1_I4 |  Dean /Winchester/   |   M    | 1969-04-15 |     NA     | sprint1_F2 |     NA     |  48 |
|  sprint1_I5 |   Sam /Winchester/   |   M    | 1973-09-07 |     NA     | sprint1_F2 | sprint1_F3 |  44 |
|  sprint1_I6 | Christine /Campbell/ |   F    | 1977-12-18 |     NA     | sprint1_F2 | sprint1_F5 |  39 |
|  sprint1_I7 |   Mark /Campbell/    |   M    | 1910-11-20 |     NA     |     NA     | sprint1_F4 | 106 |
|  sprint1_I8 |   Jessica /Carver/   |   F    | 1977-10-31 |     NA     |     NA     | sprint1_F3 |  40 |
|  sprint1_I9 |    Shane /Moore/     |   M    | 1968-04-24 | 2000-07-06 |     NA     | sprint1_F5 |  49 |
| sprint1_I10 | Justice /Winchester/ |   F    | 1993-05-01 |     NA     | sprint1_F1 |     NA     |  24 |
| sprint1_I11 |  Zack /Winchester/   |   M    | 1995-09-15 |     NA     | sprint1_F1 |     NA     |  22 |
| sprint1_I12 |   Ben /Winchester/   |   M    | 1996-11-07 |     NA     | sprint1_F3 |     NA     |  20 |
| sprint1_I13 |  Mike /Winchester/   |   M    | 1998-01-25 |     NA     | sprint1_F3 |     NA     |  19 |
| sprint1_I14 |    Kevin /Moore/     |   M    | 2002-06-12 |     NA     | sprint1_F5 |     NA     |  15 |
| sprint1_I15 |    Sydney /Moore/    |   F    | 2000-03-28 |     NA     | sprint1_F5 |     NA     |  17 |
| sprint1_I16 |  Hannah /Campbell/   |   F    | 2006-11-16 |     NA     | sprint1_F4 |     NA     |  10 |
| sprint1_I17 |  Peter /Winchester/  |   M    | 1998-01-25 |     NA     | sprint1_F3 |     NA     |  19 |
| sprint1_I18 |  June /Winchester/   |   F    | 1995-08-11 |     NA     | sprint1_F3 |     NA     |  22 |
| sprint1_I19 |   Ten /Winchester/   |   M    | 1996-11-07 |     NA     | sprint1_F3 |     NA     |  20 |
| sprint1_I20 |  Priya /Winchester/  |   F    | 1995-10-05 |     NA     | sprint1_F3 |     NA     |  22 |
| sprint1_I21 |  Shina /Winchester/  |   F    | 1997-02-15 |     NA     | sprint1_F3 |     NA     |  20 |
| sprint1_I22 |  Joshu /Winchester/  |   F    | 1997-02-15 |     NA     | sprint1_F3 |     NA     |  20 |
| sprint1_I23 |  David /Winchester/  |   M    | 1993-12-10 |     NA     | sprint1_F3 |     NA     |  23 |
| sprint1_I24 |  Maggi /Winchester/  |   F    | 2000-09-19 |     NA     | sprint1_F3 |     NA     |  17 |
| sprint1_I25 |  Blue /Winchester/   |   M    | 2000-09-19 |     NA     | sprint1_F3 |     NA     |  17 |
| sprint1_I26 |  Sugar /Winchester/  |   F    | 2001-06-21 |     NA     | sprint1_F3 |     NA     |  16 |
| sprint1_I27 |  Bunny /Winchester/  |   M    | 2001-06-21 |     NA     | sprint1_F3 |     NA     |  16 |
| sprint1_I28 |  Honey /Winchester/  |   F    | 2001-06-21 |     NA     | sprint1_F3 |     NA     |  16 |
| sprint1_I29 | Robert /Winchester/  |   M    | 2002-12-03 |     NA     | sprint1_F3 |     NA     |  14 |
| sprint1_I30 |  Super /Winchester/  |   M    | 1993-12-10 | 1992-07-06 | sprint1_F3 |     NA     |  23 |
|   us_01_I1  |          NA          |   F    | 2091-03-10 |     NA     |  us_01_F1  |     NA     | -74 |
|   us_01_I2  |     Jeff /Stone/     |   M    | 1965-04-25 | 2020-12-15 |     NA     |  us_01_F1  |  52 |
|   us_01_I3  |   Rebecca /Stone/    |   F    | 1967-10-23 |     NA     |     NA     |  us_01_F1  |  50 |
|   us_04_I1  |          NA          |   F    | 1991-03-10 |     NA     |  us_04_F1  |     NA     |  26 |
|   us_04_I2  |     Jeff /Stone/     |   M    | 1965-04-25 |     NA     |     NA     |  us_04_F1  |  52 |
|   us_04_I3  |   Rebecca /Stone/    |   F    | 1968-10-23 |     NA     |     NA     |  us_04_F1  |  49 |
|   us_05_I1  |          NA          |   F    | 1991-03-10 |     NA     |  us_05_F1  |     NA     |  26 |
|   us_05_I2  |     Jeff /Stone/     |   M    | 1965-04-25 |     NA     |     NA     |  us_05_F1  |  52 |
|   us_05_I3  |   Rebecca /Stone/    |   F    | 1968-10-23 | 1989-09-11 |     NA     |  us_05_F1  |  49 |
|   us_07_I1  |          NA          |   F    | 1991-03-10 |     NA     |  us_07_F1  |     NA     |  26 |
|   us_07_I2  |     Jeff /Stone/     |   M    | 1835-04-25 |     NA     |     NA     |  us_07_F1  | 182 |
|   us_07_I3  |   Rebecca /Stone/    |   F    | 1836-10-23 | 2010-09-11 |     NA     |  us_07_F1  | 181 |
|   us_13_I1  |    Matthew /Wood/    |   M    | 1945-01-05 |     NA     |     NA     |  us_13_F1  |  72 |
|   us_13_I2  |     Mary /Wood/      |   F    | 1948-08-19 |     NA     |     NA     |  us_13_F1  |  69 |
|   us_13_I3  |   Melissa /Jones/    |   F    | 1970-02-15 |     NA     |  us_13_F1  |     NA     |  47 |
|   us_13_I4  |    Michael /Wood/    |   M    | 1970-08-17 |     NA     |  us_13_F1  |     NA     |  47 |
|   us_13_I5  |     Betty /Wood/     |   F    | 1980-06-09 |     NA     |  us_13_F1  |     NA     |  37 |
|   us_13_I6  |     Hazel /Wood/     |   F    | 1980-06-11 |     NA     |  us_13_F1  |     NA     |  37 |
|   us_17_I1  |    Matthew /Wood/    |   M    | 1945-01-05 |     NA     |     NA     |  us_17_F1  |  72 |
|   us_17_I2  |     Mary /Wood/      |   F    | 1948-08-19 | 1990-01-02 |     NA     |  us_17_F1  |  69 |
|   us_17_I3  |   Melissa /Jones/    |   F    | 1970-04-15 |     NA     |  us_17_F1  |  us_17_F2  |  47 |
|   us_17_I4  |    Michael /Wood/    |   M    | 1973-09-07 |     NA     |  us_17_F1  |  us_17_F3  |  44 |
|   us_17_I5  |     Betty /Wood/     |   F    | 1977-12-17 |     NA     |  us_17_F1  |  us_17_F4  |  39 |
|   us_17_I6  |     Ryan /Jones/     |   M    | 1972-06-10 |     NA     |     NA     |  us_17_F2  |  45 |
|   us_17_I7  |    Alice /Turner/    |   F    | 1977-10-31 |     NA     |     NA     |  us_17_F3  |  40 |
|   us_17_I8  |    Edward /Cole/     |   M    | 1968-04-24 | 2000-07-06 |     NA     |  us_17_F4  |  49 |
|   us_17_I9  |     Sara /Jones/     |   F    | 1993-05-01 |     NA     |  us_17_F2  |  us_17_F6  |  24 |
|  us_17_I10  |     Bill /Jones/     |   M    | 1995-09-15 |     NA     |  us_17_F2  |  us_17_F5  |  22 |
|  us_17_I11  |      Rob /Wood/      |   M    | 1996-11-07 |     NA     |  us_17_F3  |     NA     |  20 |
|  us_17_I12  |     Josh /Wood/      |   M    | 1998-01-25 |     NA     |  us_17_F3  |     NA     |  19 |
|  us_17_I13  |     Dylan /Cole/     |   M    | 1998-06-12 |     NA     |  us_17_F4  |     NA     |  19 |
|  us_17_I14  |     Jenna /Cole/     |   F    | 2000-03-28 |     NA     |  us_17_F4  |     NA     |  17 |
|   us_18_I1  |    Matthew /Wood/    |   M    | 1945-01-05 |     NA     |     NA     |  us_18_F1  |  72 |
|   us_18_I2  |     Mary /Wood/      |   F    | 1948-08-19 |     NA     |     NA     |  us_18_F1  |  69 |
|   us_18_I3  |   Melissa /Jones/    |   F    | 1970-04-15 |     NA     |  us_18_F1  |  us_18_F2  |  47 |
|   us_18_I4  |    Michael /Wood/    |   M    | 1973-09-07 |     NA     |  us_18_F1  |  us_18_F3  |  44 |
|   us_18_I5  |     Betty /Wood/     |   F    | 1977-12-18 |     NA     |  us_18_F1  |  us_18_F4  |  39 |
|   us_18_I6  |     Ryan /Jones/     |   M    | 1972-06-10 |     NA     |     NA     |  us_18_F2  |  45 |
|   us_18_I7  |    Alice /Turner/    |   F    | 1977-10-31 |     NA     |     NA     |  us_18_F3  |  40 |
|   us_18_I8  |    Edward /Cole/     |   M    | 1968-04-24 | 2000-07-06 |     NA     |  us_18_F4  |  49 |
|   us_18_I9  |     Sara /Jones/     |   F    | 1993-05-01 |     NA     |  us_18_F2  |     NA     |  24 |
